Device,Experiment,Plate Name,Animal Description,Plate Position Name,Plate Row,Plate Column,Plate Center Position X (inches),Plate Center Position Y (inches),Plate Size X (inches),Plate Size Y (inches),Strain,Genotype,Condition 1,Condition 2,Condition 3,Culturing Temperature,Experiment Temperature, Food Source,Environmental Conditions,Incubator Name,Incubator Column,Incubator Shelf,Event Frequency,Age at Death (d),Duration Not Fast Moving (d),Longest Gap in Measurement (d),Censored,Censored Reason,Event Observation Type,Annotation Source,Technique,Analysis Type,Event Type
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,41.6627,8.25,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,39.746,2.22917,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,39.7043,2.1875,0,0,,,Storyboard Annotation,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,39.5377,11.2083,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,39.4543,5.625,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,39.4543,13.5,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,39.0793,16.5417,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,38.4543,12.1667,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,38.121,5.25,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,38.121,12.9583,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,37.8293,12.9167,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,33.996,4.20833,0,0,,,Storyboard Annotation,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,33.621,5.95833,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,32.371,7.125,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,30.5377,5.29167,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,27.9543,3.5,0.0833333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,27.121,10.75,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,26.4127,2.5,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,25.996,2.16667,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,24.2877,2.20833,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,24.1627,6.29167,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,22.371,6.41667,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,21.621,7,0.0416667,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_c::1,CX11314::2::40::20::OP50-1::CeNDR,c::1,1,c,4.02969,3.19531,1.80937,1.87187,CX11314,,,2,40,20,20,OP50-1,CeNDR,,,,1,19.746,1.08333,0,0,,,Storyboard Annotation,Lifespan Machine,,
Orion,CeNDR_071919,Orion_d::0,CX11314::1::40::20::OP50-1::CeNDR,d::0,0,d,5.97969,1.40156,1.81563,1.92188,CX11314,,,1,40,20,20,OP50-1,CeNDR,,,,1,50.4231,26.25,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_d::0,CX11314::1::40::20::OP50-1::CeNDR,d::0,0,d,5.97969,1.40156,1.81563,1.92188,CX11314,,,1,40,20,20,OP50-1,CeNDR,,,,1,49.6731,20.5,0.583333,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_d::0,CX11314::1::40::20::OP50-1::CeNDR,d::0,0,d,5.97969,1.40156,1.81563,1.92188,CX11314,,,1,40,20,20,OP50-1,CeNDR,,,,1,47.7981,7.91667,0.125,0,,,Automated Analysis,Lifespan Machine,,
Orion,CeNDR_071919,Orion_d::0,CX11314::1::40::20::OP50-1::CeNDR,d::0,0,d,5.97969,1.40156,1.81563,1.92188,CX11314,,,1,40,20,20,OP50-1,CeNDR,,,,1,45.6314,10.9583,0.583333,0,,,Automated Analysis,Lifespan Machine,,
