strain	wormcamp_plate_num	well	random_ID	bleach_wave	conc embryo/uL	num_of_worms_after_bleach	number_of_worms_estimated_on_6cm_plate	notes
NIC529	4	B03	6	3	0.23	641	1000	NA
JU1491	4	B04	42	3	0.43	1204	1000	NA
EG4724	4	B05	52	3	0.36	900	1000	NA
JU642	4	B06	4	3	1.7	2000	1000	NA
QX1792	4	C01	23	3	0.6	2160	1000	NA
JU2513	4	C02	11	2	1.2	2000	1000	NA
JU1212	4	C03	18	2	1.5	2000	1000	NA
WN2002	4	C04	41	1	2.2	2000	1000	NA
QX1791	4	C05	85	3	0.6	2040	300	NA
NIC258	4	C06	12	3	0.83	1660	1000	NA
WN2001	4	D01	1	3	0.3	900	1000	NA
NIC231	4	D02	49	3	0.33	957	1000	NA
JU561	4	D03	20	3	0.46	1265	1000	NA
NIC526	4	D04	35	3	0.5	1400	1000	NA
JU1395	4	D05	9	3	0.16	500	1000	NA
GXW1	4	D06	107	3	0.16	576	150	NA
N2_3	5	A01	22	4	1.16	1082	300	NA
N2_3	5	A02	22	4	1.16	1082	300	NA
N2_3	5	A03	22	4	1.16	1082	300	NA
ED3077	5	A04	27	2	0.4	1200	300	NA
PB303	5	A05	40	1	2.175	2000	1000	NA
NIC251	5	A06	79	2	0.46	1564	1000	NA
N2_2	5	B01	110	4	1.16	1082	100	NA
JU323	5	B02	36	1	1.3	2000	1000	NA
ED3011	5	B03	76	3	0.46	1265	1000	NA
EG4946	5	B04	106	3	1	2000	400	NA
N2_1	5	B05	66	4	1.16	1082	50	NA
RC301	5	B06	39	3	0.16	512	1000	NA
ED3046	5	C01	47	2	1	2000	150	NA
CX11262	5	C02	103	3	0.33	1155	300	NA
CX11315	5	C03	46	3	0.3	990	100	NA
EG4347	5	C04	105	3	0.76	2000	300	NA
NIC259	5	C05	75	3	0.63	1836	1000	NA
QX1794	5	C06	56	1	0.7	2100	1000	NA
CX11292	5	D01	124	3	0.03	120	50	NA
JU1896	5	D02	70	3	0.2	700	1000	NA
ED3048	5	D03	17	1	0.5	1500	1000	NA
NIC268	5	D04	93	3	0.2	600	200	NA
JU751	5	D05	95	3	2.4	2000	300	NA
NIC267	5	D06	108	3	0.76	2000	300	NA
N2_3	6	A01	22	4	1.16	1082	300	NA
N2_3	6	A02	22	4	1.16	1082	300	NA
N2_3	6	A03	22	4	1.16	1082	300	NA
JU1896	6	A04	70	3	0.2	700	1000	NA
CX11262	6	A05	103	3	0.33	1155	300	NA
N2_2	6	A06	110	4	1.16	1082	100	NA
ED3046	6	B01	47	2	1	2000	150	NA
NIC267	6	B02	108	3	0.76	2000	300	NA
NIC259	6	B03	75	3	0.63	1836	1000	NA
N2_1	6	B04	66	4	1.16	1082	50	NA
EG4347	6	B05	105	3	0.76	2000	300	NA
RC301	6	B06	39	3	0.16	512	1000	NA
JU323	6	C01	36	1	1.3	2000	1000	NA
QX1794	6	C02	56	1	0.7	2100	1000	NA
JU751	6	C03	95	3	2.4	2000	300	NA
ED3077	6	C04	27	2	0.4	1200	300	NA
CX11315	6	C05	46	3	0.3	990	100	NA
EG4946	6	C06	106	3	1	2000	400	NA
CX11292	6	D01	124	3	0.03	120	50	NA
ED3048	6	D02	17	1	0.5	1500	1000	NA
PB303	6	D03	40	1	2.175	2000	1000	NA
NIC268	6	D04	93	3	0.2	600	200	NA
NIC251	6	D05	79	2	0.46	1564	1000	NA
ED3011	6	D06	76	3	0.46	1265	1000	NA
N2_3	7	A01	22	4	1.16	1082	300	NA
N2_3	7	A02	22	4	1.16	1082	300	NA
N2_3	7	A03	22	4	1.16	1082	300	NA
RC301	7	A04	39	3	0.16	512	1000	NA
NIC268	7	A05	93	3	0.2	600	200	NA
CX11292	7	A06	124	3	0.03	120	50	NA
EG4946	7	B01	106	3	1	2000	400	NA
CX11262	7	B02	103	3	0.33	1155	300	NA
NIC251	7	B03	79	2	0.46	1564	1000	NA
CX11315	7	B04	46	3	0.3	990	100	NA
ED3011	7	B05	76	3	0.46	1265	1000	NA
JU1896	7	B06	70	3	0.2	700	1000	NA
EG4347	7	C01	105	3	0.76	2000	300	NA
ED3077	7	C02	27	2	0.4	1200	300	NA
QX1794	7	C03	56	1	0.7	2100	1000	NA
N2_2	7	C04	110	4	1.16	1082	100	NA
ED3048	7	C05	17	1	0.5	1500	1000	NA
JU323	7	C06	36	1	1.3	2000	1000	NA
PB303	7	D01	40	1	2.175	2000	1000	NA
N2_1	7	D02	66	4	1.16	1082	50	NA
JU751	7	D03	95	3	2.4	2000	300	NA
ED3046	7	D04	47	2	1	2000	150	NA
NIC259	7	D05	75	3	0.63	1836	1000	NA
NIC267	7	D06	108	3	0.76	2000	300	NA
N2_3	8	A01	22	4	1.16	1082	300	NA
N2_3	8	A02	22	4	1.16	1082	300	NA
N2_3	8	A03	22	4	1.16	1082	300	NA
QX1794	8	A04	56	1	0.7	2100	1000	NA
NIC267	8	A05	108	3	0.76	2000	300	NA
RC301	8	A06	39	3	0.16	512	1000	NA
NIC251	8	B01	79	2	0.46	1564	1000	NA
N2_2	8	B02	110	4	1.16	1082	100	NA
ED3077	8	B03	27	2	0.4	1200	300	NA
N2_1	8	B04	66	4	1.16	1082	50	NA
CX11315	8	B05	46	3	0.3	990	100	NA
JU751	8	B06	95	3	2.4	2000	300	NA
NIC268	8	C01	93	3	0.2	600	200	NA
ED3011	8	C02	76	3	0.46	1265	1000	NA
JU1896	8	C03	70	3	0.2	700	1000	NA
EG4347	8	C04	105	3	0.76	2000	300	NA
EG4946	8	C05	106	3	1	2000	400	NA
PB303	8	C06	40	1	2.175	2000	1000	NA
ED3046	8	D01	47	2	1	2000	150	NA
ED3048	8	D02	17	1	0.5	1500	1000	NA
NIC259	8	D03	75	3	0.63	1836	1000	NA
CX11262	8	D04	103	3	0.33	1155	300	NA
JU323	8	D05	36	1	1.3	2000	1000	NA
CX11292	8	D06	124	3	0.03	120	50	NA
N2_5	9	A01	130	4	1.16	1082	200	NA
NA	9	A02	NA	NA	NA	NA	NA	none
NA	9	A03	NA	NA	NA	NA	NA	none
NIC271	9	A04	7	2	0.16	560	few	NA
NIC195	9	A05	81	2	0.75	2000	50	NA
QW947	9	A06	91	2	0.86	2000	250	NA
NIC236	9	B01	10	2	0.16	560	few	none
NIC527	9	B02	129	3	0.03	114	100	NA
QG536	9	B03	128	3	0.16	480	500	NA
CX11276	9	B04	38	1	1	2000	1000	NA
JU1580	9	B05	114	2	0.13	440	1000	NA
NIC256	9	B06	5	1	2.3	2000	1000	NA
JU778	9	C01	78	2	0.3	1050	100	NA
QX1212	9	C02	83	2	1.43	2000	100	NA
NIC261	9	C03	62	1	0.86	2000	100	NA
QX1233	9	C04	94	3	0.5	1600	200	NA
ECA252	9	C05	102	3	0.16	533	100	none
CB4932	9	C06	80	2	0.36	1246	1000	NA
QX1793	9	D01	71	3	0.26	780	1000	NA
NIC1	9	D02	14	1	1.875	2000	1000	NA
MY1	9	D03	73	1	1.75	2000	500	NA
CB4854	9	D04	28	2	0.36	1296	300	NA
QG2075	9	D05	45	1	0.875	2000	25	NA
ECA250	9	D06	101	3	0.53	1537	250	NA
N2_5	10	A01	130	4	1.16	1082	200	NA
NA	10	A02	NA	NA	NA	NA	NA	none
NA	10	A03	NA	NA	NA	NA	NA	none
QX1793	10	A04	71	3	0.26	780	1000	NA
NIC256	10	A05	5	1	2.3	2000	1000	NA
NIC236	10	A06	10	2	0.16	560	few	none
NIC271	10	B01	7	2	0.16	560	few	NA
JU1580	10	B02	114	2	0.13	440	1000	NA
CX11276	10	B03	38	1	1	2000	1000	NA
ECA252	10	B04	102	3	0.16	533	100	none
CB4854	10	B05	28	2	0.36	1296	300	NA
MY1	10	B06	73	1	1.75	2000	500	NA
QX1233	10	C01	94	3	0.5	1600	200	NA
QW947	10	C02	91	2	0.86	2000	250	NA
NIC195	10	C03	81	2	0.75	2000	50	NA
QG2075	10	C04	45	1	0.875	2000	25	NA
QX1212	10	C05	83	2	1.43	2000	100	NA
NIC261	10	C06	62	1	0.86	2000	100	NA
CB4932	10	D01	80	2	0.36	1246	1000	NA
ECA250	10	D02	101	3	0.53	1537	250	NA
NIC527	10	D03	129	3	0.03	114	100	NA
NIC1	10	D04	14	1	1.875	2000	1000	NA
